,MSSubClass,MSZoning,Neighborhood,OverallQual,OverallCond,YearRemodAdd,RoofStyle,MasVnrType,BsmtQual,BsmtExposure,HeatingQC,CentralAir,1stFlrSF,GrLivArea,BsmtFullBath,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,PavedDrive,LotFrontage,YrSold,SalePrice
1376,30,RL,SWISU,6,5,1950,Gable,None,Gd,Mn,TA,N,790,790,0,TA,0,,Detchd,Unf,1,Y,52.0,2008,91000
660,60,RL,NWAmes,7,7,1976,Gable,BrkFace,Gd,No,TA,Y,1142,1935,0,TA,1,TA,Attchd,RFn,2,Y,,2007,197900
1111,60,RL,NWAmes,7,6,1976,Hip,BrkFace,TA,No,TA,Y,1098,1964,0,TA,1,Gd,Attchd,RFn,2,Y,80.0,2008,205000
458,70,RM,OldTown,8,7,1996,Hip,None,TA,No,Fa,Y,833,1666,0,Gd,1,Gd,Detchd,Unf,1,Y,,2008,161000
1005,80,RL,CollgCr,5,8,1977,Gable,BrkFace,Gd,Av,TA,Y,985,985,0,TA,0,,Attchd,Unf,1,Y,65.0,2008,149900
333,120,RM,NridgHt,7,5,2004,Gable,Stone,Gd,Av,Ex,Y,1358,1358,1,Gd,1,Gd,Attchd,RFn,2,Y,59.0,2008,207000
721,120,RM,CollgCr,6,5,2004,Gable,BrkFace,Gd,Av,Ex,Y,848,848,1,Gd,0,,Attchd,RFn,2,Y,,2010,143000
1289,60,RL,NridgHt,8,5,2006,Gable,Stone,Gd,Mn,Ex,Y,1120,1970,0,Ex,1,Gd,BuiltIn,Fin,3,Y,86.0,2006,281000
678,20,RL,StoneBr,8,5,2008,Hip,Stone,Ex,Mn,Ex,Y,2046,2046,0,Gd,1,Gd,Attchd,Fin,3,Y,80.0,2009,372500
1354,60,RL,CollgCr,7,5,2000,Gable,None,Gd,No,Ex,Y,992,1865,1,Gd,1,TA,Attchd,RFn,3,Y,,2008,235000
328,75,RL,BrkSide,6,6,1994,Gable,None,TA,No,Gd,N,1445,2134,0,Gd,0,,Detchd,Unf,2,Y,,2009,214500
318,60,RL,NoRidge,7,5,1993,Gable,BrkFace,Gd,Gd,Ex,Y,1372,2646,1,Gd,1,TA,Attchd,RFn,3,Y,90.0,2009,260000
1438,20,RM,OldTown,6,7,1996,Gable,None,TA,No,TA,Y,1236,1236,1,TA,0,,Attchd,Unf,2,Y,90.0,2010,149700
908,20,RL,Mitchel,5,5,1983,Gable,None,Gd,Av,TA,Y,902,902,1,TA,0,,Attchd,Unf,2,Y,,2006,131000
12,20,RL,Sawyer,5,6,1962,Hip,None,TA,No,TA,Y,912,912,1,TA,0,,Detchd,Unf,1,Y,,2008,144000
171,20,RL,NAmes,6,5,1960,Hip,Stone,TA,Gd,Fa,Y,1656,1656,1,TA,2,Gd,Attchd,Fin,2,P,141.0,2010,215000
260,80,RL,NAmes,6,5,1962,Gable,BrkFace,TA,Gd,TA,Y,1382,1382,1,TA,1,TA,Attchd,Unf,2,Y,120.0,2009,176000
778,90,RH,SawyerW,5,5,1977,Gable,BrkFace,,,TA,Y,2020,2020,0,TA,2,TA,Detchd,Unf,2,Y,60.0,2007,144000
818,80,RL,ClearCr,6,7,1971,Gable,BrkFace,TA,Av,Gd,Y,1052,1052,1,TA,0,,Attchd,Unf,2,Y,80.0,2010,155000
759,60,RL,NoRidge,8,5,1995,Gable,BrkFace,Gd,Av,Ex,Y,1328,2531,0,Gd,1,TA,Attchd,RFn,3,Y,65.0,2007,290000
138,60,RL,CollgCr,8,5,2000,Gable,BrkFace,Gd,Mn,Ex,Y,1004,1852,0,Gd,2,TA,Attchd,Fin,3,Y,73.0,2008,230000
1209,20,RL,Somerst,8,5,2006,Hip,Stone,Ex,Mn,Ex,Y,1660,1660,1,Gd,1,Gd,Attchd,RFn,2,Y,85.0,2006,290000
885,120,FV,Somerst,9,5,2000,Gable,BrkFace,Ex,Av,Ex,Y,1709,1709,1,Gd,1,TA,Attchd,Fin,2,Y,50.0,2008,328900
741,20,RL,Sawyer,6,8,1996,Hip,None,TA,Mn,Gd,Y,912,912,1,Gd,0,,Detchd,Unf,1,Y,65.0,2008,142000
139,60,RL,CollgCr,6,5,1997,Gable,None,Gd,No,Ex,Y,928,1764,1,Gd,0,,Attchd,RFn,2,Y,65.0,2009,231500
1276,60,RL,NWAmes,6,6,1972,Gable,None,TA,No,TA,Y,735,1395,0,TA,1,TA,Attchd,Unf,2,Y,,2009,162000
1081,20,RL,Sawyer,5,5,1963,Gable,None,TA,No,Fa,Y,1040,1040,1,TA,0,,Attchd,Fin,1,Y,75.0,2010,133000
224,20,RL,NridgHt,10,5,2003,Hip,BrkFace,Ex,Gd,Ex,Y,2392,2392,0,Ex,1,Ex,Attchd,Fin,3,Y,103.0,2009,386250
1063,30,RM,OldTown,6,6,1980,Gable,None,TA,No,Gd,Y,1103,1103,0,Gd,1,Gd,Detchd,Unf,2,Y,50.0,2006,110500
409,60,FV,Somerst,8,5,2008,Gable,Stone,Ex,No,Ex,Y,1050,2078,1,Ex,1,Gd,Attchd,Fin,3,Y,85.0,2008,339750
325,45,RM,IDOTRR,5,6,1950,Gable,None,TA,Av,Po,N,803,803,0,TA,0,,Detchd,Unf,2,Y,50.0,2007,87000
299,20,RL,Crawfor,6,8,2004,Gable,None,TA,No,Ex,Y,1152,1152,0,Gd,1,Gd,Attchd,Unf,1,Y,80.0,2009,158500
1242,85,RL,NWAmes,7,6,1974,Gable,BrkFace,Gd,Gd,TA,Y,1173,1173,1,Gd,2,TA,Attchd,RFn,2,Y,85.0,2010,170000
705,190,RM,IDOTRR,4,5,1950,Hip,None,,,Fa,N,372,1092,0,Fa,0,,,,0,N,70.0,2010,55000
1235,70,RL,Crawfor,5,5,1950,Gable,None,Gd,Mn,Gd,Y,892,1784,0,TA,0,,Detchd,Unf,1,N,96.0,2006,138887
1355,80,RL,NWAmes,7,6,1992,Gable,BrkFace,TA,No,Gd,Y,1222,1920,0,Gd,1,TA,Attchd,RFn,2,Y,102.0,2006,170000
903,20,RL,Gilbert,7,5,2006,Hip,BrkFace,Gd,No,Ex,Y,1670,1670,0,Gd,1,Gd,Attchd,RFn,3,Y,50.0,2006,240000
829,160,FV,Somerst,7,5,2005,Gable,None,Gd,No,Ex,Y,520,1223,0,Gd,0,,Detchd,RFn,2,Y,24.0,2006,147400
503,20,RL,Crawfor,7,8,1997,Gable,None,TA,No,TA,Y,1801,1801,1,TA,2,TA,Attchd,Fin,2,Y,100.0,2010,289000
1336,90,RL,NWAmes,5,5,1973,Gable,BrkFace,TA,No,TA,Y,1656,1656,0,TA,0,,Detchd,Unf,2,Y,87.0,2008,135000
3,70,RL,Crawfor,7,5,1970,Gable,None,TA,No,Gd,Y,961,1717,1,Gd,1,Gd,Detchd,Unf,3,Y,60.0,2006,140000
1313,60,RL,NoRidge,9,5,1999,Gable,BrkFace,Gd,No,Ex,Y,1422,2599,0,Gd,1,TA,BuiltIn,Fin,3,Y,108.0,2010,333168
467,70,RL,NAmes,5,7,1995,Gable,Stone,TA,No,Ex,Y,888,1644,0,Gd,2,Gd,Attchd,Unf,1,Y,79.0,2007,146500
321,60,RL,NridgHt,8,5,2004,Gable,BrkFace,Ex,Av,Ex,Y,1136,2468,1,Gd,1,Gd,BuiltIn,Fin,3,Y,99.0,2007,354000
5,50,RL,Mitchel,5,5,1995,Gable,None,Gd,No,Ex,Y,796,1362,1,TA,0,,Attchd,Unf,2,Y,85.0,2009,143000
1239,20,RL,Timber,8,5,2006,Hip,BrkFace,Gd,Av,Ex,Y,1484,1484,0,Ex,1,Gd,Attchd,RFn,2,Y,64.0,2007,265900
1093,20,RL,NAmes,5,8,1998,Hip,BrkFace,TA,Mn,Gd,Y,1200,1200,1,Gd,0,,Detchd,Unf,2,Y,71.0,2006,146000
715,20,RL,NWAmes,6,5,1974,Hip,BrkFace,Gd,No,TA,Y,1350,1350,0,TA,1,TA,Attchd,RFn,2,Y,78.0,2009,165000
39,90,RL,Edwards,4,5,1955,Gable,None,,,TA,N,1152,1152,0,Fa,0,,,,0,N,65.0,2008,82000
542,20,RL,NWAmes,7,5,1999,Hip,None,Ex,No,Ex,Y,1680,1680,1,Gd,1,TA,Attchd,Fin,2,Y,78.0,2009,213250
242,50,RM,OldTown,5,4,1950,Gable,None,TA,No,Gd,N,889,1440,0,TA,0,,Attchd,Unf,1,Y,63.0,2006,79000
136,20,RL,NAmes,5,5,1967,Gable,BrkFace,TA,No,TA,Y,1214,1214,0,TA,1,Fa,Attchd,RFn,1,Y,,2007,143000
714,60,RL,Sawyer,6,8,2005,Gable,BrkFace,TA,No,Ex,Y,725,1479,0,Gd,0,,Attchd,RFn,2,Y,,2010,130500
737,60,RL,Gilbert,8,5,2005,Gable,None,Gd,No,Ex,Y,901,1801,0,Gd,1,Gd,Attchd,Fin,3,Y,72.0,2006,239900
1301,70,RL,Crawfor,6,7,1950,Gable,None,TA,No,Fa,Y,753,1494,0,Gd,2,Gd,Attchd,Unf,1,P,,2009,177500
1043,60,RL,SawyerW,7,5,1990,Hip,BrkFace,Gd,No,Ex,Y,1532,2329,1,Gd,1,Ex,Attchd,Unf,2,Y,86.0,2008,262280
1330,20,RL,Somerst,8,5,2006,Hip,Stone,Gd,Av,Ex,Y,1588,1588,0,Gd,1,Gd,Attchd,RFn,3,Y,85.0,2007,227000
1103,20,RL,NAmes,6,6,1959,Hip,None,TA,Mn,Ex,Y,1194,1194,0,TA,1,Fa,BuiltIn,Fin,2,Y,79.0,2006,159500
752,20,RL,CollgCr,6,5,1997,Gable,None,Gd,Gd,Ex,Y,1494,1494,1,Gd,0,,Attchd,RFn,2,Y,79.0,2006,217000
1353,50,RL,NoRidge,8,5,1996,Hip,BrkFace,Gd,Av,Ex,Y,2053,3238,1,Gd,1,Ex,Attchd,Fin,3,Y,56.0,2010,410000
376,85,RL,CollgCr,5,5,1996,Gable,None,Gd,Av,Ex,Y,914,914,0,TA,0,,Detchd,Unf,2,Y,57.0,2006,148000
314,70,RM,OldTown,7,7,1990,Gable,None,TA,No,Ex,Y,832,1641,0,Ex,1,Gd,Detchd,Unf,2,Y,60.0,2006,178000
442,50,RM,BrkSide,5,7,1992,Gable,None,TA,No,TA,Y,1128,1573,0,TA,1,Gd,Detchd,Unf,2,P,52.0,2008,162900
319,80,RL,NWAmes,7,5,1980,Gable,BrkFace,Gd,Av,TA,Y,1472,1472,1,TA,2,TA,Attchd,Unf,2,Y,,2009,187500
767,50,RL,Mitchel,6,7,1985,Gable,None,Gd,Mn,Ex,Y,983,1750,1,TA,0,,Attchd,Unf,1,Y,75.0,2008,160000
756,60,RL,CollgCr,8,5,2007,Gable,None,Gd,Av,Ex,Y,866,1768,0,Gd,0,,Attchd,RFn,2,Y,68.0,2009,212000
424,20,RL,NAmes,6,5,1956,Gable,BrkFace,Gd,No,Gd,Y,1196,1196,1,TA,1,Gd,Attchd,RFn,1,Y,72.0,2008,139000
553,20,RL,Edwards,4,5,2003,Gable,None,,,Ex,Y,1126,1126,0,Gd,0,,Detchd,Fin,2,N,67.0,2009,108000
1035,20,RL,Edwards,4,3,1957,Gable,None,,,Ex,N,845,845,0,TA,0,,Detchd,Unf,1,N,,2009,84000
953,60,RL,Mitchel,5,4,1969,Gable,BrkFace,TA,Av,Ex,Y,1168,1968,0,TA,1,Po,Attchd,RFn,2,Y,,2008,172000
1185,50,RL,Edwards,5,7,1950,Gable,None,TA,No,Gd,Y,949,1221,1,TA,0,,Attchd,Unf,1,Y,60.0,2006,104900
596,70,RM,OldTown,6,7,1993,Gable,None,TA,No,Ex,N,684,1368,0,TA,0,,Detchd,Unf,1,N,60.0,2006,114504
227,160,RM,BrDale,6,6,1970,Gable,BrkFace,TA,No,TA,Y,483,987,0,TA,0,,Detchd,Unf,1,Y,21.0,2008,106000
1106,20,RL,SawyerW,7,5,1991,Hip,None,Gd,Mn,Gd,Y,1442,1442,1,Gd,1,TA,Attchd,Fin,2,Y,114.0,2007,179900
771,20,RL,Edwards,4,5,1951,Gable,None,Fa,No,TA,Y,1220,1220,0,TA,0,,Detchd,Unf,2,Y,67.0,2006,102000
933,20,RL,CollgCr,7,5,2004,Gable,BrkFace,Gd,Av,Ex,Y,1500,1500,0,Gd,0,,Attchd,RFn,2,Y,63.0,2009,190000
1417,60,RL,NoRidge,8,5,1998,Gable,BrkFace,Gd,Mn,Ex,Y,1310,2450,1,Gd,1,TA,Attchd,Fin,3,Y,,2009,340000
66,20,RL,NAmes,7,5,1989,Gable,BrkFace,Gd,Gd,TA,Y,2207,2207,1,TA,1,Gd,Attchd,RFn,2,Y,,2010,180000
999,20,RL,CollgCr,7,5,2006,Gable,Stone,Gd,Av,Ex,Y,1208,1208,1,Gd,0,,Attchd,RFn,2,Y,64.0,2010,206000
579,50,RM,OldTown,5,5,1954,Gable,BrkFace,TA,No,Ex,N,1050,1795,0,TA,0,,Attchd,Unf,1,Y,81.0,2008,131500
942,90,RL,Edwards,4,3,1977,Gable,None,Gd,Gd,TA,Y,1440,1440,2,TA,0,,,,0,N,42.0,2007,150000
211,20,RL,Edwards,6,5,2009,Gable,None,Gd,Mn,Ex,Y,1212,1212,0,Gd,0,,Attchd,RFn,2,Y,83.0,2010,186000
1148,50,RM,OldTown,7,7,1950,Gable,None,TA,No,TA,Y,572,1111,0,TA,1,Gd,Detchd,Unf,1,Y,,2008,116900
745,60,RL,NWAmes,8,9,1996,Hip,BrkFace,TA,No,Ex,Y,1175,2715,0,Gd,2,TA,BuiltIn,Fin,2,Y,,2008,299800
536,60,RL,CollgCr,7,5,1999,Gable,None,Gd,Av,Ex,Y,880,1724,0,Gd,0,,Attchd,Fin,2,Y,57.0,2008,188000
1286,20,RL,NWAmes,6,5,1963,Hip,BrkFace,TA,No,TA,Y,1328,1328,1,TA,2,Gd,Attchd,Unf,2,Y,,2010,143000
1295,20,RL,NAmes,5,5,1968,Hip,BrkFace,TA,Av,Gd,Y,1052,1052,1,TA,0,,Attchd,RFn,1,Y,70.0,2006,138500
85,60,RL,NoRidge,8,5,1992,Hip,BrkFace,Gd,No,Ex,Y,1301,2417,0,Gd,1,TA,Attchd,Unf,2,Y,121.0,2006,260000
1314,20,RL,Edwards,4,6,1954,Hip,None,TA,No,Ex,Y,948,948,1,TA,1,TA,Detchd,Unf,1,Y,60.0,2007,119000
974,70,RL,BrkSide,7,8,1993,Gable,None,Gd,No,TA,N,1136,2019,0,Gd,0,,Detchd,Unf,2,Y,60.0,2009,167500
976,30,RL,BrkSide,4,7,1958,Gable,None,Gd,No,TA,Y,869,869,0,Fa,0,,,,0,Y,51.0,2006,85500
631,120,RL,NridgHt,8,5,2006,Gable,Stone,Gd,Mn,Ex,Y,1554,1554,0,Gd,1,Gd,Attchd,RFn,2,Y,34.0,2007,209500
1315,60,RL,NAmes,6,5,1969,Gable,None,Fa,Mn,TA,Y,1092,2112,0,TA,2,Gd,Attchd,Unf,2,Y,85.0,2008,206900
1383,30,RL,Sawyer,5,7,2007,Gable,None,TA,No,Ex,Y,1416,1416,0,Gd,0,,Attchd,Unf,2,N,,2007,112000
1401,60,RL,Gilbert,6,5,2004,Gable,None,TA,No,Ex,Y,864,1593,1,TA,1,TA,Attchd,Fin,2,Y,62.0,2008,193000
949,20,RL,NWAmes,6,7,2006,Hip,None,TA,No,TA,Y,1381,1381,1,Gd,1,TA,Attchd,RFn,2,Y,78.0,2010,197500
273,20,RL,NAmes,6,6,1988,Hip,BrkCmn,TA,No,Gd,Y,1632,1632,1,TA,1,Gd,Attchd,RFn,1,Y,80.0,2009,139000
1034,30,RL,Crawfor,5,7,1950,Gable,None,Fa,No,Ex,Y,954,954,0,Fa,1,Gd,Basment,Unf,1,Y,50.0,2007,119750
362,85,RL,Edwards,7,5,2003,Gable,BrkFace,,,Ex,Y,495,1922,0,Gd,1,Ex,BuiltIn,RFn,2,Y,64.0,2009,198500
622,20,RL,Sawyer,5,6,1977,Gable,BrkFace,TA,No,TA,Y,980,980,0,TA,0,,Detchd,Unf,2,Y,71.0,2009,135000
2,60,RL,CollgCr,7,5,2002,Gable,BrkFace,Gd,Mn,Ex,Y,920,1786,1,Gd,1,TA,Attchd,RFn,2,Y,68.0,2008,223500
6,20,RL,Somerst,8,5,2005,Gable,Stone,Ex,Av,Ex,Y,1694,1694,1,Gd,1,Gd,Attchd,RFn,2,Y,75.0,2007,307000
311,20,RL,NAmes,6,6,2002,Gable,None,TA,No,Ex,Y,972,972,1,TA,1,Gd,Detchd,Unf,1,Y,50.0,2009,132000
668,20,RL,Sawyer,5,6,1987,Gable,None,TA,No,Gd,Y,1437,1437,1,TA,1,TA,Detchd,Unf,2,Y,,2006,168000
1037,60,RL,CollgCr,8,5,2002,Gable,BrkFace,Gd,No,Ex,Y,1055,2263,0,Gd,1,TA,BuiltIn,Fin,2,Y,,2008,287000
1439,60,RL,NWAmes,7,6,1979,Hip,BrkFace,TA,No,TA,Y,1040,1725,0,TA,1,TA,Attchd,RFn,2,Y,80.0,2007,197000
215,20,RL,NAmes,5,6,1996,Gable,BrkFace,TA,No,TA,Y,1236,1236,0,Gd,1,Fa,Attchd,Unf,1,Y,72.0,2006,134450
1119,20,RL,NAmes,5,5,1959,Gable,None,TA,No,TA,Y,1040,1040,0,TA,0,,Attchd,RFn,1,Y,70.0,2006,133700
27,20,RL,NridgHt,8,5,2008,Gable,Stone,Ex,No,Ex,Y,1704,1704,1,Gd,1,Gd,Attchd,RFn,3,Y,98.0,2010,306000
1055,20,RL,NWAmes,6,5,1976,Gable,BrkFace,Gd,No,TA,Y,1523,1523,0,TA,1,TA,Attchd,Fin,2,Y,104.0,2008,180000
824,20,FV,Somerst,8,5,2006,Gable,None,Gd,No,Ex,Y,1489,1489,0,Gd,1,Gd,Attchd,RFn,2,Y,81.0,2006,232600
1415,120,RL,Blmngtn,7,5,2007,Hip,BrkFace,Gd,No,Ex,Y,1569,1569,0,Gd,1,TA,Attchd,RFn,3,Y,51.0,2009,175900
1198,20,RL,CollgCr,7,5,2001,Gable,None,Gd,No,Ex,Y,1212,1212,0,Gd,0,,Attchd,RFn,2,Y,70.0,2009,178000
1280,20,RL,CollgCr,7,5,2002,Gable,BrkFace,Gd,No,Ex,Y,1573,1573,1,Gd,0,,Attchd,RFn,2,Y,67.0,2009,227000
624,60,RL,NWAmes,6,5,1972,Gable,None,TA,No,Gd,Y,1012,1790,1,TA,1,TA,Attchd,RFn,2,Y,80.0,2006,165150
807,70,RL,BrkSide,5,6,2004,Gable,None,TA,Gd,Ex,Y,1072,1576,2,Gd,1,TA,Attchd,RFn,2,Y,144.0,2009,223500
256,60,FV,Somerst,6,5,2003,Gable,None,Gd,No,Ex,Y,864,1728,0,Gd,0,,Attchd,RFn,2,Y,64.0,2008,207500
25,20,RL,NridgHt,8,5,2007,Gable,Stone,Gd,No,Ex,Y,1600,1600,0,Gd,1,Gd,Attchd,RFn,3,Y,110.0,2009,256300
336,20,RL,StoneBr,9,5,2006,Hip,Stone,Ex,Gd,Ex,Y,1922,1922,1,Gd,1,Gd,Attchd,Fin,3,Y,86.0,2007,377426
572,60,RL,Timber,7,5,2009,Gable,None,Ex,Av,Gd,Y,846,1692,0,Gd,0,,Attchd,RFn,2,Y,83.0,2009,224500
47,20,FV,Somerst,8,5,2006,Gable,None,Gd,Av,Ex,Y,1656,1656,0,Gd,0,,Attchd,RFn,3,Y,84.0,2007,249700
106,30,RM,OldTown,4,7,1995,Mansard,None,Fa,No,Gd,Y,1047,1047,0,TA,0,,Detchd,Unf,1,N,60.0,2007,100000
349,60,RL,NridgHt,9,5,2006,Hip,BrkFace,Ex,No,Ex,Y,1848,2728,1,Ex,2,Ex,Attchd,Fin,3,Y,56.0,2006,437154
55,20,RL,NAmes,6,5,1964,Gable,BrkFace,TA,No,Gd,Y,1425,1425,0,TA,1,Gd,Attchd,RFn,2,Y,100.0,2008,180500
1443,30,RL,BrkSide,6,6,1950,Gable,None,TA,No,Fa,N,952,952,0,Fa,1,Gd,Detchd,Unf,1,P,,2009,121000
213,20,RL,CollgCr,5,5,1995,Gable,None,Gd,No,Ex,Y,990,990,0,TA,0,,Attchd,Unf,2,Y,43.0,2006,156000
120,80,RL,ClearCr,6,5,1969,Flat,None,TA,Gd,Ex,Y,988,988,1,TA,2,TA,Attchd,Unf,2,Y,,2006,180000
1206,20,RH,SawyerW,4,4,1966,Gable,None,TA,No,TA,Y,1056,1056,1,TA,0,,Detchd,Unf,1,Y,,2006,107000
1388,20,RL,Gilbert,9,5,2007,Gable,Stone,Ex,Gd,Ex,Y,1746,1746,1,Ex,2,Gd,Attchd,Fin,3,Y,42.0,2009,377500
72,60,RL,Gilbert,7,5,1998,Gable,BrkFace,Gd,No,Gd,Y,885,1718,0,TA,1,TA,Attchd,Fin,2,Y,74.0,2009,185000
743,80,RL,Sawyer,5,6,1999,Gable,None,Gd,Av,Ex,Y,1464,1464,0,TA,1,TA,Attchd,RFn,2,Y,70.0,2009,175000
